employee_id,fullname,years_of_service_months,latest_rating,performance_group,grade,education,major,position,department,disc,mbti,iq,gtq,gdr_score_avg,cex_score_avg,ids_score_avg,qdd_score_avg,sto_score_avg,sea_score_avg,vcu_score_avg,lie_score_avg,ftc_score_avg,csi_score_avg,top_5_strengths,papi_n_score,papi_l_score,papi_p_score,papi_a_score
DUP1942,Dewi Fadillah Hidayat,79,5,High Performer,IV,S1,Design,Brand Executive,Marketing,CD,ISFP,null,null,2.8,2.4,2.8,3.2,3,2.8,3,2.5,3,2.8,"Learner, Maximizer, Ideation, Harmony, Restorative",null,6,5,6
DUP2096,Putri Wibowo,49,3,Standard Performer,III,S2,Engineering,HRBP,Marketing,SD,ISFJ,null,null,3.2,3.25,3.8,3.4,3.8,3.6,3.75,3.4,3.2,3,"Command, Significance, Competition, Discipline, Woo",1,3,4,1
DUP2722,Dewi Syahputra,33,4,Standard Performer,IV,S1,Design,Sales Supervisor,Finance,DI,ISTJ,124,18,3.5,2.33333333333333,2.8,2.4,2.5,3.4,2.5,2.6,3.2,3.2,"Individualization, Self-Assurance, , Analytical, Input",8,3,null,2
DUP3015,Bayu Kurniawan,79,3,Standard Performer,III,SMA,Business,Brand Executive,IT,CD,ESFP,87,22,4,3.6,3.6,3.6,3.8,4,3.8,3.75,3.2,4,"Responsibility, Context, Includer, Communication, Ideation",5,7,8,5
DUP3452,Fitri Anugrah Subekti,50,3,Standard Performer,V,D3,Psychology,Finance Officer,IT,ID,ESFJ,90,38,2.8,3.2,3.2,3,3.2,3,3,3,3,2.5,"Developer, Arranger, Self-Assurance, Futuristic, Learner",null,4,4,7
DUP4177,Adi Ginting,75,2,Standard Performer,V,S1,Business,Supply Planner,Marketing,DS,ENTJ,null,null,3.6,3.25,3.2,2.5,3.25,3,3.5,3,3.4,3.6,"Arranger, Significance, Harmony, Strategic, Adaptability",8,9,3,9
DUP5237,Fajar Fauziah,8,3,Standard Performer,IV,D3,Statistics,HRBP,R&D,DS,ESFP,121,30,2.66666666666667,2.75,4,2,2.25,2.66666666666667,2.5,2.75,2.33333333333333,2.33333333333333,"Harmony, Discipline, Connectedness, Learner, Analytical",3,8,2,9
DUP9015,Umar Maulana,50,3,Standard Performer,IV,S2,Economics,Sales Supervisor,HR,SC,ENTP,134,41,3.6,3.6,3.4,3.75,3.25,3.8,3.4,3.8,4,3.4,"Belief, Relator, , Consistency, Context",4,null,6,6
DUP9801,Ayu Kusuma Santoso,7,5,High Performer,III,S1,Engineering,Finance Officer,IT,SC,ISTJ,131,28,3.5,3.25,3.5,3.25,3.66666666666667,3.66666666666667,3.5,3.25,3.25,3.25,", Responsibility, Communication, , Positivity",2,null,5,1
EMP100000,Rendra Pratama,64,3,Standard Performer,IV,S2,Business,Brand Executive,R&D,SI,null,94,33,2.5,2.4,2.6,27,2.4,2.2,2.6,2.4,2.6,2.25,", Adaptability, Context, Competition, Activator",2,7,3,1
